anomaly_id,risk_score,depth_pct,growth_rate,location_factor,depth_contribution,growth_contribution,location_contribution
RUN_2022_3844,0.524,79.0,0.0,0.5,0.474,0.0,0.05
RUN_2022_3510,0.49,65.0,0.0,1.0,0.39,0.0,0.1
RUN_2022_2094,0.46599999999999997,61.0,0.0,1.0,0.366,0.0,0.1
RUN_2022_3846,0.46399999999999997,69.0,0.0,0.5,0.414,0.0,0.05
RUN_2022_2431,0.46113571428573463,63.0,0.0,0.8313571428573465,0.378,0.0,0.08313571428573466
RUN_2022_2935,0.45999999999999996,60.0,0.0,1.0,0.36,0.0,0.1
RUN_2022_3320,0.43600000000000005,56.0,0.0,1.0,0.336,0.0,0.1
RUN_2022_3231,0.434,64.0,0.0,0.5,0.384,0.0,0.05
RUN_2022_2868,0.42400000000000004,54.0,0.0,1.0,0.324,0.0,0.1
RUN_2022_4004,0.42400000000000004,54.0,0.0,1.0,0.324,0.0,0.1
RUN_2022_4225,0.42400000000000004,54.0,0.0,1.0,0.324,0.0,0.1
RUN_2022_3957,0.41800000000000004,53.0,0.0,1.0,0.318,0.0,0.1
RUN_2022_3839,0.41,60.0,0.0,0.5,0.36,0.0,0.05
RUN_2022_4661,0.41,60.0,0.0,0.5,0.36,0.0,0.05
RUN_2022_2121,0.40399999999999997,59.0,0.0,0.5,0.354,0.0,0.05
RUN_2022_4072,0.40399999999999997,59.0,0.0,0.5,0.354,0.0,0.05
RUN_2022_1953,0.4,50.0,0.0,1.0,0.3,0.0,0.1
RUN_2022_2248,0.4,50.0,0.0,1.0,0.3,0.0,0.1
RUN_2022_2869,0.4,50.0,0.0,1.0,0.3,0.0,0.1
RUN_2022_2523,0.39830000000001126,56.0,0.0,0.6230000000001122,0.336,0.0,0.06230000000001123
RUN_2022_2852,0.394,49.0,0.0,1.0,0.294,0.0,0.1
RUN_2022_3515,0.394,49.0,0.0,1.0,0.294,0.0,0.1
RUN_2022_4108,0.394,49.0,0.0,1.0,0.294,0.0,0.1
RUN_2022_690,0.39199999999999996,57.0,0.0,0.5,0.34199999999999997,0.0,0.05
RUN_2022_809,0.38857142857142596,50.0,0.0,0.8857142857142597,0.3,0.0,0.08857142857142597
RUN_2022_681,0.38,55.0,0.0,0.5,0.33,0.0,0.05
RUN_2022_3566,0.38,55.0,0.0,0.5,0.33,0.0,0.05
RUN_2022_3505,0.3767428571428443,54.0,0.0,0.5274285714284426,0.324,0.0,0.05274285714284426
RUN_2022_1648,0.376,46.0,0.0,1.0,0.276,0.0,0.1
RUN_2022_2459,0.376,46.0,0.0,1.0,0.276,0.0,0.1
RUN_2022_4430,0.374,54.0,0.0,0.5,0.324,0.0,0.05
RUN_2022_3229,0.3725214285714402,53.0,0.0,0.5452142857144021,0.318,0.0,0.05452142857144021
RUN_2022_3283,0.3722142857142899,50.0,0.0,0.7221428571428987,0.3,0.0,0.07221428571428988
RUN_2022_284,0.362,52.0,0.0,0.5,0.312,0.0,0.05
RUN_2022_3232,0.362,52.0,0.0,0.5,0.312,0.0,0.05
RUN_2022_2426,0.35827142857142563,49.0,0.0,0.6427142857142566,0.294,0.0,0.06427142857142566
RUN_2022_2886,0.358,43.0,0.0,1.0,0.258,0.0,0.1
RUN_2022_2511,0.356978571428539,49.0,0.0,0.62978571428539,0.294,0.0,0.062978571428539
RUN_2022_3276,0.35611428571428405,50.0,0.0,0.5611428571428405,0.3,0.0,0.056114285714284055
RUN_2022_3171,0.356,51.0,0.0,0.5,0.306,0.0,0.05
RUN_2022_3192,0.356,51.0,0.0,0.5,0.306,0.0,0.05
RUN_2022_2427,0.35487142857146264,47.0,0.0,0.7287142857146267,0.282,0.0,0.07287142857146267
RUN_2022_1490,0.352,42.0,0.0,1.0,0.252,0.0,0.1
RUN_2022_679,0.35,50.0,0.0,0.5,0.3,0.0,0.05
RUN_2022_3176,0.35,50.0,0.0,0.5,0.3,0.0,0.05
RUN_2022_3840,0.35,50.0,0.0,0.5,0.3,0.0,0.05
RUN_2022_3792,0.34932142857142234,48.0,0.0,0.6132142857142233,0.288,0.0,0.06132142857142234
RUN_2022_2460,0.34627142857142984,43.0,0.0,0.8827142857142982,0.258,0.0,0.08827142857142983
RUN_2022_529,0.346,41.0,0.0,1.0,0.24599999999999997,0.0,0.1
RUN_2022_2105,0.346,41.0,0.0,1.0,0.24599999999999997,0.0,0.1
RUN_2022_3858,0.346,41.0,0.0,1.0,0.24599999999999997,0.0,0.1
RUN_2022_247,0.34460714285714067,42.0,0.0,0.9260714285714065,0.252,0.0,0.09260714285714065
RUN_2022_519,0.344,49.0,0.0,0.5,0.294,0.0,0.05
RUN_2022_524,0.344,49.0,0.0,0.5,0.294,0.0,0.05
RUN_2022_2115,0.344,49.0,0.0,0.5,0.294,0.0,0.05
RUN_2022_2424,0.344,49.0,0.0,0.5,0.294,0.0,0.05
RUN_2022_3564,0.344,49.0,0.0,0.5,0.294,0.0,0.05
RUN_2022_3796,0.344,49.0,0.0,0.5,0.294,0.0,0.05
RUN_2022_4069,0.344,49.0,0.0,0.5,0.294,0.0,0.05
RUN_2022_481,0.3438999999999989,43.0,0.0,0.8589999999999886,0.258,0.0,0.08589999999999887
RUN_2022_555,0.33999999999999997,40.0,0.0,1.0,0.24,0.0,0.1
RUN_2022_3629,0.3397357142857093,43.0,0.0,0.8173571428570929,0.258,0.0,0.0817357142857093
RUN_2022_3847,0.33799999999999997,48.0,0.0,0.5,0.288,0.0,0.05
RUN_2022_4073,0.33799999999999997,48.0,0.0,0.5,0.288,0.0,0.05
RUN_2022_4662,0.33799999999999997,48.0,0.0,0.5,0.288,0.0,0.05
RUN_2022_2429,0.33617142857145105,43.0,0.0,0.7817142857145103,0.258,0.0,0.07817142857145104
RUN_2022_107,0.33399999999999996,39.0,0.0,1.0,0.23399999999999999,0.0,0.1
RUN_2022_4247,0.33399999999999996,39.0,0.0,1.0,0.23399999999999999,0.0,0.1
RUN_2022_518,0.33199999999999996,47.0,0.0,0.5,0.282,0.0,0.05
RUN_2022_677,0.33199999999999996,47.0,0.0,0.5,0.282,0.0,0.05
RUN_2022_682,0.33199999999999996,47.0,0.0,0.5,0.282,0.0,0.05
RUN_2022_3197,0.33199999999999996,47.0,0.0,0.5,0.282,0.0,0.05
RUN_2022_3201,0.33199999999999996,47.0,0.0,0.5,0.282,0.0,0.05
RUN_2022_4283,0.32962857142858515,44.0,0.0,0.6562857142858515,0.264,0.0,0.06562857142858515
RUN_2022_3627,0.3288071428571233,40.0,0.0,0.8880714285712331,0.24,0.0,0.08880714285712332
RUN_2022_1647,0.32799999999999996,38.0,0.0,1.0,0.22799999999999998,0.0,0.1
RUN_2022_1951,0.32799999999999996,38.0,0.0,1.0,0.22799999999999998,0.0,0.1
